iteration_tracking;;;availability_rate;mean_stock
[12, 20.4];12; 20.4;0,99921105;471272,5927
[12, 20.6];12; 20.6;0,999342541;477578,6695
[12, 20.8];12; 20.8;0,999408287;483577,9309
[12, 21.0];12; 21.0;0,999446639;488135,1021
[12, 21.2];12; 21.2;0,999452118;493654,5395
[12, 21.4];12; 21.4;0,999375414;499711,5564
[12, 21.6];12; 21.6;0,999638398;505121,4332
[12, 21.8];12; 21.8;0,999501427;510475,3259
[12, 22.0];12; 22.0;0,999594567;515118,7739
[12, 22.2];12; 22.2;0,999605525;520892,0784
[12, 22.4];12; 22.4;0,999704144;525633,4752
[12, 22.6];12; 22.6;0,999742495;531387,2026
[12, 22.8];12; 22.8;0,999589088;536657,3216
[12, 23.0];12; 23.0;0,99962744;540865,8297
[12, 23.2];12; 23.2;0,99967675;545578,5645
[12, 23.4];12; 23.4;0,99967675;551768,7991
[12, 23.6];12; 23.6;0,999687707;555884,7198
[12, 23.8];12; 23.8;0,999731538;560453,7915
[12, 24.0];12; 24.0;0,999791805;567039,469
[13, 17.2];13; 17.2;0,985623572;351843,0896
[13, 17.4];13; 17.4;0,986867265;361544,9621
[13, 17.6];13; 17.6;0,990307965;373443,2842
[13, 17.8];13; 17.8;0,990488766;380615,3819
[13, 18.0];13; 18.0;0,992740561;390648,5585
[13, 18.2];13; 18.2;0,993217219;399944,0416
[13, 18.4];13; 18.4;0,994176013;407723,9005
[13, 18.6];13; 18.6;0,995874447;418910,7467
[13, 18.8];13; 18.8;0,996225092;427812,4852
[13, 19.0];13; 19.0;0,997052394;437756,7335
[13, 19.2];13; 19.2;0,99730442;444102,1517
[13, 19.4];13; 19.4;0,998142679;452831,814
[13, 19.6];13; 19.6;0,998542633;460981,971
[13, 19.8];13; 19.8;0,998575506;468696,457
[13, 20.0];13; 20.0;0,999008333;476543,8458
[13, 20.2];13; 20.2;0,999358978;482520,0725
[13, 20.4];13; 20.4;0,999337063;490408,9019
[13, 20.6];13; 20.6;0,999550737;496331,242
[13, 20.8];13; 20.8;0,999523343;502268,5097
[13, 21.0];13; 21.0;0,999605525;508858,8636
[13, 21.2];13; 21.2;0,999709622;516856,7094
[13, 21.4];13; 21.4;0,999857551;521116,7185
[13, 21.6];13; 21.6;0,999835635;528253,0018
[13, 21.8];13; 21.8;0,99981372;533014,4155
[13, 22.0];13; 22.0;0,999879466;538622,2483
[13, 22.2];13; 22.2;1,00E+00;546021,3054
[13, 22.4];13; 22.4;1,00E+00;551132,2454
[13, 22.6];13; 22.6;1,00E+00;554962,8999
[13, 22.8];13; 22.8;1,00E+00;562021,9853
[13, 23.0];13; 23.0;1,00E+00;566505,1418
[13, 23.2];13; 23.2;1,00E+00;569870,8399
[13, 23.4];13; 23.4;1,00E+00;576804,2456
[13, 23.6];13; 23.6;1,00E+00;581512,641
[13, 23.8];13; 23.8;1,00E+00;586545,0711
[13, 24.0];13; 24.0;1,00E+00;590752,6899
[14, 18.2];14; 18.2;0,99381441;404434,7824
[14, 18.4];14; 18.4;0,99474581;412462,5129
[14, 18.6];14; 18.6;0,995885405;422391,5449
[14, 18.8];14; 18.8;0,99614291;431410,8653
[14, 19.0];14; 19.0;0,997085267;441982,377
[14, 19.2];14; 19.2;0,99744139;451222,1727
[14, 19.4];14; 19.4;0,998076934;461197,6009
[14, 19.6];14; 19.6;0,998570028;469893,0307
[14, 19.8];14; 19.8;0,998723435;477086,9606
[14, 20.0];14; 20.0;0,999063122;486606,9363
[14, 20.2];14; 20.2;0,99916174;494904,7799
[14, 20.4];14; 20.4;0,999326105;503157,7045
[14, 20.6];14; 20.6;0,999430203;511025,4588
[14, 20.8];14; 20.8;0,999528821;516620,1607
[14, 21.0];14; 21.0;0,999638398;526118,3365
[14, 21.2];14; 21.2;0,999775368;533345,5858
[14, 21.4];14; 21.4;0,999758932;539760,9868
[14, 21.6];14; 21.6;0,999786326;547190,3021
[14, 21.8];14; 21.8;0,999846593;552857,4704
[14, 22.0];14; 22.0;0,999890424;559021,7089
[14, 22.2];14; 22.2;0,999895902;566332,9258
[14, 22.4];14; 22.4;1,00E+00;572314,2699
[14, 22.6];14; 22.6;1,00E+00;577754,0383
[14, 22.8];14; 22.8;1,00E+00;584280,203
[14, 23.0];14; 23.0;1,00E+00;588612,9059
[14, 23.2];14; 23.2;1,00E+00;594682,0548
[14, 23.4];14; 23.4;1,00E+00;599448,737
[14, 23.6];14; 23.6;1,00E+00;606976,6967
[14, 23.8];14; 23.8;1,00E+00;611029,8839
[14, 24.0];14; 24.0;1,00E+00;615570,9964
[15, 19.2];15; 19.2;0,99721128;452881,0543
[15, 19.4];15; 19.4;0,997983794;462839,0871
[15, 19.6];15; 19.6;0,998339917;473110,2207
[15, 19.8];15; 19.8;0,998586464;481659,5718
[15, 20.0];15; 20.0;0,998904236;491234,2269
[15, 20.2];15; 20.2;0,9990686;502419,816
[15, 20.4];15; 20.4;0,999391851;511540,8348
[15, 20.6];15; 20.6;0,999282274;519536,7768
[15, 20.8];15; 20.8;0,99949047;527706,1385
[15, 21.0];15; 21.0;0,999621961;537009,6675
[15, 21.2];15; 21.2;0,999747974;546420,7602
[15, 21.4];15; 21.4;0,999830157;553670,6269
[15, 21.6];15; 21.6;0,999852072;561870,9189
[15, 21.8];15; 21.8;0,999873987;570050,1787
[15, 22.0];15; 22.0;0,999857551;576487,7136
[15, 22.2];15; 22.2;1,00E+00;584006,8841
[15, 22.4];15; 22.4;1,00E+00;591139,2615
[15, 22.6];15; 22.6;1,00E+00;597593,8662
[15, 22.8];15; 22.8;1,00E+00;602987,1525
[15, 23.0];15; 23.0;1,00E+00;608388,1302
[15, 23.2];15; 23.2;1,00E+00;615753,6415
[15, 23.4];15; 23.4;1,00E+00;622191,876
[15, 23.6];15; 23.6;1,00E+00;628020,0105
[15, 23.8];15; 23.8;1;634231,4479
[15, 24.0];15; 24.0;1;639227,534
[16, 20.2];16; 20.2;0,999057643;502188,3355
[16, 20.4];16; 20.4;0,999265838;513563,786
[16, 20.6];16; 20.6;0,999309668;522867,1354
[16, 20.8];16; 20.8;0,999369936;532824,5726
[16, 21.0];16; 21.0;0,999567173;540338,1102
[16, 21.2];16; 21.2;0,999616482;552412,4879
[16, 21.4];16; 21.4;0,999742495;561175,4412
[16, 21.6];16; 21.6;1,00E+00;569354,3887
[16, 21.8];16; 21.8;0,99981372;577867,243
[16, 22.0];16; 22.0;1,00E+00;587011,1218
[16, 22.2];16; 22.2;1,00E+00;595317,2991
[16, 22.4];16; 22.4;1,00E+00;604038,7729
[16, 22.6];16; 22.6;1,00E+00;610483,9198
[16, 22.8];16; 22.8;1,00E+00;617997,2434
[16, 23.0];16; 23.0;1,00E+00;624581,7349
[16, 23.2];16; 23.2;1;634148,1512
[16, 23.4];16; 23.4;1,00E+00;639328,0056
[16, 23.6];16; 23.6;1,00E+00;645391,4996
[16, 23.8];16; 23.8;1;654193,0143
[16, 24.0];16; 24.0;1,00E+00;661287,8717
[17, 21.2];17; 21.2;0,999698665;554823,7775
[17, 21.4];17; 21.4;0,999857551;564562,6674
[17, 21.6];17; 21.6;0,999857551;574286,0758
[17, 21.8];17; 21.8;0,999846593;582268,9962
[17, 22.0];17; 22.0;1,00E+00;592913,7742
[17, 22.2];17; 22.2;1,00E+00;601051,6405
[17, 22.4];17; 22.4;1,00E+00;610478,649
[17, 22.6];17; 22.6;1,00E+00;619456,9669
[17, 22.8];17; 22.8;1,00E+00;629799,4474
[17, 23.0];17; 23.0;1,00E+00;637399,1166
[17, 23.2];17; 23.2;1,00E+00;646087,7321
[17, 23.4];17; 23.4;1;653786,11
[17, 23.6];17; 23.6;1;662612,9906
[17, 23.8];17; 23.8;1;669780,0552
[17, 24.0];17; 24.0;1,00E+00;678080,4173
[18, 22.2];18; 22.2;0,999852072;604040,1541
[18, 22.4];18; 22.4;1,00E+00;614738,3775
[18, 22.6];18; 22.6;1,00E+00;624590,6033
[18, 22.8];18; 22.8;1,00E+00;634447,5045
[18, 23.0];18; 23.0;1,00E+00;641480,7802
[18, 23.2];18; 23.2;1,00E+00;651998,5591
[18, 23.4];18; 23.4;1,00E+00;660825,3998
[18, 23.6];18; 23.6;1,00E+00;671692,2147
[18, 23.8];18; 23.8;1;678343,0555
[18, 24.0];18; 24.0;1,00E+00;686418,9939
[19, 23.2];19; 23.2;1,00E+00;652810,445
[19, 23.4];19; 23.4;1,00E+00;662813,9989
[19, 23.6];19; 23.6;1;673619,7819
[19, 23.8];19; 23.8;1,00E+00;682388,0453
[19, 24.0];19; 24.0;1;693052,3039
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
;;;1;
