iteration_tracking,availability_rate,mean_stock
"[7.5, 8.0]",0.7457826770618176,-109754.02756469001
"[7.5, 8.5]",0.6864579966140882,-84145.75775631865
"[7.5, 9.0]",0.6233638868952066,-58178.05550411186
"[7.5, 9.5]",0.5617819319420779,-33900.39623272681
"[7.5, 10.0]",0.4973509897491248,-8185.10762983506
"[7.5, 10.5]",0.43799891519332024,15860.195564837592
"[7.5, 11.0]",0.37440075388585425,42883.93306635956
"[7.5, 11.5]",0.32285600013149174,65837.01577336102
"[7.5, 12.0]",0.2685499202831455,91455.29428310214
"[8.0, 8.5]",0.6863812931114776,-84107.26085768851
"[8.0, 9.0]",0.6253143473901633,-59040.05542192008
"[8.0, 9.5]",0.5593055045720766,-33333.08356423366
"[8.0, 10.0]",0.4953293045731724,-7275.773602437799
"[8.0, 10.5]",0.4387769078626569,15669.886770317045
"[8.0, 11.0]",0.3762142438404348,41856.06757046915
"[8.0, 11.5]",0.32052750094509674,66840.12633226514
"[8.0, 12.0]",0.2656735389352458,92745.04892419802
"[8.5, 9.0]",0.619797174023811,-57092.6654876735
"[8.5, 9.5]",0.5579084050602396,-31992.140123137775
"[8.5, 10.0]",0.4946334942280614,-6692.285153122731
"[8.5, 10.5]",0.43550057253685875,16799.63280319376
"[8.5, 11.0]",0.37788528443302416,41406.21959238696
"[8.5, 11.5]",0.32279025427211117,65767.13805281308
"[8.5, 12.0]",0.2675966053221273,92664.48534063638
"[9.0, 9.5]",0.5603245653924754,-33256.694156014484
"[9.0, 10.0]",0.4961675642802746,-8019.105662711772
"[9.0, 10.5]",0.4353526443532525,16848.62911004307
"[9.0, 11.0]",0.37499794544189435,42417.4542170445
"[9.0, 11.5]",0.3207247385232384,66909.65445281308
"[9.0, 12.0]",0.26848965324538,92418.78452967748
"[9.5, 10.0]",0.49832621999660315,-8644.42322983506
"[9.5, 10.5]",0.43159417272533024,18506.766578536222
"[9.5, 11.0]",0.37498150897704924,42318.28819512669
"[9.5, 11.5]",0.32241769440228796,66328.62841993637
"[9.5, 12.0]",0.27045107138356683,91151.3193954309
"[10.0, 10.5]",0.43232833482174654,18159.63001415266
"[10.0, 11.0]",0.37732644462828935,41646.655312934905
"[10.0, 11.5]",0.31876332038505156,67761.79753774458
"[10.0, 12.0]",0.27088389829115556,91047.50690775967
"[10.5, 11.0]",0.379145413404485,40508.06089649655
"[10.5, 11.5]",0.32363947162244344,65724.84616240211
"[10.5, 12.0]",0.26950871406577875,91902.83744474596
"[11.0, 11.5]",0.32304775888801834,65943.66057884048
"[11.0, 12.0]",0.2652735849573474,93626.92238173228
"[11.5, 12.0]",0.26879098843420757,92313.23183926652
