iteration_tracking,availability_rate,mean_stock
"[11,23.0]",0.0012436925066156772,518507.9642042563
"[11,23.2]",0.0014464089063724174,521393.93911500194
"[11,23.4]",0.0013203960092263356,525936.0862558845
"[11,23.6]",0.0013477901173015708,531227.4272652603
"[11,23.8]",0.001068370214934172,534620.2937376502
"[11,24.0]",0.0010245396420137957,542697.3974867519
"[12,16.2]",0.03097725741147594,301806.5382964345
"[12,16.4]",0.027065378778332358,311428.29647293355
"[12,16.6]",0.0235644117663173,322123.4210603917
"[12,16.8]",0.019493647306337354,331364.3628588085
"[12,17.0]",0.015905019148481546,341501.7623942118
"[12,17.2]",0.013801151648303483,352202.72347482084
"[12,17.4]",0.01192191583434235,360679.5175088542
"[12,17.6]",0.009746823653168677,368738.5757127505
"[12,17.8]",0.00785663019597745,379400.9650892501
"[12,18.0]",0.007779926693366791,385936.8227561602
"[12,18.2]",0.006262293105998761,395751.63419293315
"[12,18.4]",0.005111740566838884,401973.93871463765
"[12,18.6]",0.0044159302217279105,409939.4880089451
"[12,18.8]",0.0034516576174796324,418885.2874950336
"[12,19.0]",0.00262435555360753,425697.2271016696
"[12,19.2]",0.002602440267147342,432929.70496584004
"[12,19.4]",0.002312062721549849,439581.30695055827
"[12,19.6]",0.001703913522279628,446637.12419555103
"[12,19.8]",0.0013477901173015708,452535.7928378034
"[12,20.0]",0.0013258748308413826,458423.74997320655
"[12,20.2]",0.0012930019011511004,464892.37949217134
"[12,20.4]",0.0007889503125667731,471272.59273716353
"[12,20.6]",0.0006574585938056443,477578.66952188226
"[12,20.8]",0.0005917127344250799,483577.9309093406
"[12,21.0]",0.0005533609831197506,488135.1021269355
"[12,21.2]",0.0005478821615047036,493654.53950891446
"[12,21.4]",0.0006245856641153621,499711.55641418055
"[12,21.6]",0.00036160222659310434,505121.4332372549
"[12,21.8]",0.0004985727669692803,510475.325934302
"[12,22.0]",0.00040543279951348065,515118.77391902014
"[12,22.2]",0.00039447515628338655,520892.07835305395
"[12,22.4]",0.00029585636721253994,525633.4752144843
"[12,22.6]",0.0002575046159072107,531387.2025635866
"[12,22.8]",0.00041091162112852765,536657.321551045
"[12,23.0]",0.00037255986982319845,540865.8296891878
"[12,23.2]",0.0003232504752877751,545578.5644519882
"[12,23.4]",0.0003232504752877751,551768.7991051996
"[12,23.6]",0.00031229283205768104,555884.7197638904
"[12,23.8]",0.00026846225913730473,560453.7914746364
"[12,24.0]",0.00020819522137178735,567039.4690319574
"[13,17.2]",0.014376427917883421,351843.08961180714
"[13,17.4]",0.013132735411267745,361544.9621061145
"[13,17.6]",0.009692035437018206,373443.2842004217
"[13,17.8]",0.009511234323721654,380615.38186185283
"[13,18.0]",0.007259438639937322,390648.5584821876
"[13,18.2]",0.00678278115942823,399944.0415901934
"[13,18.4]",0.005823987376794999,407723.9005283363
"[13,18.6]",0.0041255526761304175,418910.74671031494
"[13,18.8]",0.0037749080927674075,427812.485160787
"[13,19.0]",0.002947606028895305,437756.7335400258
"[13,19.2]",0.0026955802346031415,444102.1517494017
"[13,19.4]",0.001857320527500945,452831.8140300103
"[13,19.6]",0.0014573665496025116,460981.97095719486
"[13,19.8]",0.0014244936199122292,468696.4569693103
"[13,20.0]",0.0009916667123235135,476543.8457649874
"[13,20.2]",0.0006410221289605032,482520.07248395216
"[13,20.4]",0.0006629374154206913,490408.9019481225
"[13,20.6]",0.0004492633724338569,496331.24204790965
"[13,20.8]",0.0004766574805090921,502268.50973125844
"[13,21.0]",0.00039447515628338655,508858.8635899492
"[13,21.2]",0.0002903775455974929,516856.7093554898
"[13,21.4]",0.00014244936199122292,521116.7185128107
"[13,21.6]",0.00016436464845141107,528253.0017632823
"[13,21.8]",0.00018627993491159922,533014.415534302
"[13,22.0]",0.00012053407553103479,538622.2482916228
"[13,22.2]",9.313996745579961e-05,546021.3054489442
"[13,22.4]",7.122468099561146e-05,551132.2453733884
